Episode,Score,Epsilon
1,-202.95,0.99
2,-336.10,0.99
3,-339.97,0.99
4,-313.19,0.98
5,-298.89,0.98
6,-89.41,0.97
7,-136.18,0.97
8,-138.53,0.96
9,-48.71,0.96
10,-170.78,0.95
11,-209.88,0.95
12,-97.25,0.94
13,-117.62,0.94
14,-137.98,0.93
15,-122.05,0.93
16,-222.35,0.92
17,-218.37,0.92
18,-287.43,0.91
19,-27.68,0.91
20,-450.38,0.90
21,-94.03,0.90
22,-81.31,0.90
23,-121.60,0.89
24,-52.08,0.89
25,-329.58,0.88
26,-289.53,0.88
27,-238.34,0.87
28,-109.47,0.87
29,-177.86,0.86
30,-194.25,0.86
31,-242.87,0.86
32,-232.42,0.85
33,-317.10,0.85
34,-328.50,0.84
35,-292.83,0.84
36,-81.79,0.83
37,-124.64,0.83
38,-287.12,0.83
39,-103.41,0.82
40,-106.93,0.82
41,-157.82,0.81
42,-71.02,0.81
43,-201.29,0.81
44,-205.85,0.80
45,-228.26,0.80
46,-66.58,0.79
47,-142.85,0.79
48,-117.28,0.79
49,-123.74,0.78
50,-229.10,0.78
51,-289.28,0.77
52,-156.61,0.77
53,-89.16,0.77
54,-95.01,0.76
55,-77.58,0.76
56,-103.37,0.76
57,-91.18,0.75
58,-67.80,0.75
59,-63.91,0.74
60,-178.13,0.74
61,-164.19,0.74
62,-295.92,0.73
63,-8.72,0.73
64,-115.48,0.73
65,-159.82,0.72
66,-23.24,0.72
67,-104.25,0.71
68,-77.66,0.71
69,-50.13,0.71
70,-155.33,0.70
71,-22.12,0.70
72,-173.30,0.70
73,-166.75,0.69
74,-195.18,0.69
75,-176.56,0.69
76,-5.89,0.68
77,-105.73,0.68
78,-66.55,0.68
79,-162.23,0.67
80,-218.26,0.67
81,-29.81,0.67
82,-105.16,0.66
83,-141.87,0.66
84,-110.28,0.66
85,-103.73,0.65
86,-32.77,0.65
87,-209.06,0.65
88,-165.10,0.64
89,-151.93,0.64
90,-57.75,0.64
91,-24.38,0.63
92,-199.38,0.63
93,-176.88,0.63
94,-146.67,0.62
95,-153.28,0.62
96,-180.14,0.62
97,-233.16,0.61
98,-113.03,0.61
99,-155.17,0.61
100,-150.31,0.61
101,-183.14,0.60
102,-26.21,0.60
103,-95.24,0.60
104,-153.60,0.59
105,-91.83,0.59
106,-61.33,0.59
107,-92.45,0.58
108,-82.19,0.58
109,-134.07,0.58
110,-153.93,0.58
111,-139.29,0.57
112,-97.16,0.57
113,-209.78,0.57
114,-42.55,0.56
115,-147.61,0.56
116,-109.54,0.56
117,-42.63,0.56
118,-37.87,0.55
119,20.19,0.55
120,-276.75,0.55
121,-152.20,0.55
122,-152.71,0.54
123,-74.18,0.54
124,-92.61,0.54
125,-111.52,0.53
126,-265.57,0.53
127,-177.93,0.53
128,-228.07,0.53
129,-105.15,0.52
130,-39.83,0.52
131,-88.51,0.52
132,-165.85,0.52
133,-90.88,0.51
134,-56.25,0.51
135,-100.14,0.51
136,-136.75,0.51
137,-124.47,0.50
138,-133.49,0.50
139,-149.04,0.50
140,-118.41,0.50
141,-124.28,0.49
142,-226.72,0.49
143,-195.14,0.49
144,-142.10,0.49
145,-118.70,0.48
146,-226.25,0.48
147,-108.42,0.48
148,-158.05,0.48
149,-170.89,0.47
150,-235.41,0.47
151,-178.58,0.47
152,-221.09,0.47
153,-325.00,0.46
154,-80.71,0.46
155,-136.91,0.46
156,-20.13,0.46
157,-28.98,0.46
158,32.85,0.45
159,-304.23,0.45
160,-81.24,0.45
161,-146.46,0.45
162,-89.73,0.44
163,-6.07,0.44
164,-277.91,0.44
165,-172.00,0.44
166,99.89,0.44
167,-158.54,0.43
168,-126.81,0.43
169,38.63,0.43
170,-138.23,0.43
171,-97.01,0.42
172,-111.14,0.42
173,-115.59,0.42
174,-284.31,0.42
175,-101.43,0.42
176,-444.37,0.41
177,-36.37,0.41
178,-220.49,0.41
179,-79.67,0.41
180,74.29,0.41
181,-148.30,0.40
182,57.15,0.40
183,-11.66,0.40
184,-101.06,0.40
185,-116.17,0.40
186,39.11,0.39
187,-205.18,0.39
188,100.27,0.39
189,84.62,0.39
190,-125.89,0.39
191,-279.39,0.38
192,-50.86,0.38
193,-318.08,0.38
194,21.88,0.38
195,67.28,0.38
196,-134.33,0.37
197,-23.33,0.37
198,141.21,0.37
199,22.87,0.37
200,-284.45,0.37
201,-1.80,0.37
202,-45.22,0.36
203,-58.23,0.36
204,-330.82,0.36
205,103.34,0.36
206,125.06,0.36
207,-206.44,0.35
208,74.52,0.35
209,-78.41,0.35
210,-241.66,0.35
211,-29.65,0.35
212,-19.11,0.35
213,74.69,0.34
214,-8.86,0.34
215,-178.70,0.34
216,-11.30,0.34
217,95.61,0.34
218,-55.47,0.34
219,91.28,0.33
220,-76.21,0.33
221,2.37,0.33
222,-36.27,0.33
223,-202.49,0.33
224,-0.71,0.33
225,39.93,0.32
226,-27.64,0.32
227,-74.32,0.32
228,-33.16,0.32
229,-39.80,0.32
230,-34.80,0.32
231,-0.49,0.31
232,24.28,0.31
233,-26.00,0.31
234,-91.06,0.31
235,-34.23,0.31
236,84.19,0.31
237,18.83,0.30
238,-55.86,0.30
239,6.73,0.30
240,26.65,0.30
241,186.97,0.30
242,-16.37,0.30
243,8.08,0.30
244,11.17,0.29
245,29.80,0.29
246,-94.87,0.29
247,-213.87,0.29
248,71.23,0.29
249,-48.15,0.29
250,-193.43,0.29
251,-29.03,0.28
252,-13.06,0.28
253,96.35,0.28
254,-20.39,0.28
255,-60.66,0.28
256,73.50,0.28
257,5.82,0.28
258,8.93,0.27
259,22.87,0.27
260,-16.45,0.27
261,1.98,0.27
262,-47.07,0.27
263,-177.69,0.27
264,7.06,0.27
265,-15.51,0.26
266,-4.59,0.26
267,28.62,0.26
268,37.25,0.26
269,-98.09,0.26
270,84.44,0.26
271,101.02,0.26
272,224.68,0.26
273,55.84,0.25
274,-86.77,0.25
275,-65.65,0.25
276,70.35,0.25
277,135.99,0.25
278,51.05,0.25
279,-115.53,0.25
280,84.46,0.25
281,17.58,0.24
282,-20.22,0.24
283,204.01,0.24
284,-32.38,0.24
285,46.20,0.24
286,102.08,0.24
287,-30.26,0.24
288,-28.74,0.24
289,4.48,0.23
290,53.23,0.23
291,-9.34,0.23
